Date,Team,Opp,BO,Pos,divider,PA,H,2B,3B,HR,R,RBI,SB,CS,BB%,K%,ISO,BABIP,EV,AVG,OBP,SLG,wOBA,wRC+,type,G,AB,1B,BB,IBB,SO,HBP,SF,SH,GDP,BB/K,OPS,Spd,wSB,wRC,wRAA,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,GB,FB,LD,IFFB,IFH,BU,BUH,Balls,Strikes,Pitches,LA,Barrels,Barrel%,WPA,#NAME?,#NAME?,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,Events,maxEV,HardHit,HardHit%
2023.8.23,LAA,CIN,2,DH,,5,1,1,0,0,1,0,0,0,0.00%,20.00%,0.2,0.25,89.1,0.2,0.2,0.4,0.249,52,0,1,5,0,0,0,1,0,0,0,0,0,0.6,2.6,,0,-0.3,2,25.00%,50.00%,25.00%,0.00%,0.00%,0.00%,0.00%,50.00%,25.00%,25.00%,0.00%,50.00%,50.00%,2,1,1,0,0,0,0,8,12,20,-2.7,0,0.00%,-0.05,-0.14,0.1,-0.41,-0.04,1.28,,0,-0.03,-0.01,95.4,25.00%,84.4,,,10.00%,79,20.00%,89,,,,,,-0.3,-0.4,,0.8,-0.6,,,-3,-7.24,,40.04,-15.26,,,36.40%,77.80%,55.00%,75.00%,71.40%,72.70%,45.00%,60.00%,15.00%,4,104.2,2,50.00%
2023.8.23,LAA,CIN,2,DH-P,,1,1,0,0,1,1,2,0,0,0.00%,0.00%,3,0,115.7,1,1,4,2.004,1268,0,1,1,0,0,0,0,0,0,0,0,0,5,0.1,,2,1.4,0,0.00%,0.00%,100.00%,0.00%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0,1,0,0,0,0,0,0,1,1,20.3,1,100.00%,0.15,0,0.15,1.61,0.16,1.39,,0,0.11,0,93,,,,,,,,,,,,,,1.4,,,,,,,138.92,,,,,,,,100.00%,100.00%,,100.00%,100.00%,100.00%,100.00%,0.00%,1,115.7,1,100.00%
2023.8.22,LAA,CIN,3,DH,,4,0,0,0,0,0,0,0,0,25.00%,50.00%,0,0,85.2,0,0.25,0,0.174,0,0,1,3,0,1,0,2,0,0,0,0,0.5,0.25,0.1,,0,-0.5,0,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,0.00%,0,1,0,0,0,0,0,6,11,17,39.6,0,0.00%,-0.1,-0.11,0.01,-0.4,-0.04,1.2,,0,-0.05,-0.03,95.7,29.40%,89.6,29.40%,96,,,,,,,,,,-0.3,-0.2,0.1,,,,,-4.91,-4.8,1.3,,,,,25.00%,66.70%,47.10%,0.00%,83.30%,62.50%,52.90%,75.00%,17.60%,1,85.2,0,0.00%
2023.8.19,LAA,TBR,2,DH,,4,1,1,0,0,1,0,0,0,25.00%,0.00%,0.333,0.333,92.4,0.333,0.5,0.667,0.485,215,0,1,3,0,1,0,0,0,0,0,0,1,1.167,2.6,,1,0.6,0,33.30%,0.00%,66.70%,0.00%,0.00%,0.00%,0.00%,0.00%,33.30%,66.70%,33.30%,33.30%,33.30%,0,2,1,0,0,0,0,8,8,16,31.3,0,0.00%,-0.04,-0.05,0,1.07,0.11,0.46,,0,0.05,-0.14,93,,,31.30%,89.4,43.80%,78.6,12.50%,84.5,,,,,,0,,0,0.1,0.5,,,-1.73,,0.14,1.41,23.9,,,33.30%,50.00%,37.50%,75.00%,100.00%,83.30%,25.00%,25.00%,6.30%,3,95.5,1,33.30%
2023.8.19,LAA,TBR,2,DH,,4,0,0,0,0,0,0,0,0,25.00%,25.00%,0,0,102.8,0,0.25,0,0.174,0,0,1,3,0,1,0,1,0,0,0,0,1,0.25,0.1,,0,-0.5,0,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,50.00%,50.00%,0,2,0,0,0,0,0,10,8,18,31.6,1,50.00%,-0.04,-0.06,0.03,-0.27,-0.03,0.86,,0,-0.04,0,95.5,55.60%,90.1,,,22.20%,83.8,,,,,,,,0.2,-0.8,,0.1,,,,6.11,-7.9,,1.51,,,,16.70%,83.30%,38.90%,0.00%,60.00%,42.90%,33.30%,50.00%,22.20%,2,105.9,2,100.00%
2023.8.18,LAA,TBR,2,DH,,5,2,0,0,1,2,4,0,0,0.00%,60.00%,0.6,1,98.5,0.4,0.4,1,0.577,279,0,1,5,1,0,0,3,0,0,0,0,0,1.4,2.6,,2,1.1,1,0.00%,50.00%,50.00%,0.00%,100.00%,100.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,1,1,0,0,1,0,0,6,13,19,16.6,1,50.00%,0.13,-0.18,0.31,2.61,0.26,2.26,,0,0.06,-0.01,96,36.80%,84.1,21.10%,90,,,21.10%,86.8,,,,,,-0.3,-0.3,1.4,,0.3,,,-8.42,-4.38,34.9,,6.84,,,36.40%,75.00%,52.60%,25.00%,83.30%,60.00%,42.10%,,21.10%,2,102.1,1,50.00%
2023.8.16,LAA,@TEX,2,DH,,4,3,0,0,1,1,1,0,0,0.00%,0.00%,0.75,0.667,86.9,0.75,0.75,1.5,0.942,532,0,1,4,2,0,0,0,0,0,0,0,0,2.25,0.1,,3,2.1,1,0.00%,50.00%,50.00%,0.00%,50.00%,50.00%,0.00%,0.00%,25.00%,75.00%,25.00%,25.00%,50.00%,2,2,0,0,1,0,0,5,11,16,17.1,1,25.00%,0.14,-0.01,0.16,1.55,0.15,0.68,,0,0.2,0.01,99.2,31.30%,89,,,,,31.30%,89.6,,,,,,2.4,-0.1,,,-0.2,,,40.71,-2.84,,,-4.59,,,54.50%,80.00%,62.50%,83.30%,75.00%,80.00%,31.30%,50.00%,12.50%,4,109.1,2,50.00%
2023.8.15,LAA,@TEX,2,DH,,4,1,0,0,0,0,0,0,1,0.00%,25.00%,0,0.333,99.2,0.25,0.25,0.25,0.221,32,0,1,4,1,0,0,1,0,0,0,0,0,0.5,2.5,,0,-0.3,3,0.00%,100.00%,0.00%,0.00%,0.00%,33.30%,0.00%,100.00%,0.00%,0.00%,0.00%,66.70%,33.30%,3,0,0,0,1,0,0,4,8,12,-20.2,0,0.00%,-0.06,-0.09,0.02,-0.72,-0.07,0.77,,0,-0.07,-0.01,95.9,16.70%,90.5,,,16.70%,82.5,,,,,,,,-0.1,0,,-0.1,,,,-1.63,-0.73,,-4.9,,,,42.90%,60.00%,50.00%,33.30%,100.00%,66.70%,41.70%,50.00%,16.70%,3,107.1,2,66.70%
2023.8.14,LAA,@TEX,2,DH,,3,0,0,0,0,0,0,0,0,0.00%,66.70%,0,0,88.2,0,0,0,0,-100,0,1,3,0,0,0,2,0,0,0,0,0,0,0.1,,0,-0.8,0,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0,1,0,1,0,0,0,2,10,12,73.2,0,0.00%,-0.04,-0.04,0,-0.68,-0.07,0.46,,0,-0.08,0,94.8,,,16.70%,89.5,8.30%,78,33.30%,86,,,,,,-0.1,,-0.3,-0.2,-0.2,,,-2.25,,-13.21,-19.99,-6.13,,,55.60%,100.00%,66.70%,40.00%,100.00%,62.50%,25.00%,100.00%,25.00%,1,88.2,0,0.00%
2023.8.13,LAA,@HOU,2,DH,,4,1,0,0,1,1,1,1,0,25.00%,25.00%,1,0,108.9,0.333,0.5,1.333,0.675,347,0,1,3,0,1,0,1,0,0,0,0,1,1.833,5,,2,1.2,1,0.00%,50.00%,50.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,1,1,0,0,0,0,0,10,11,21,13,1,50.00%,0.15,-0.05,0.2,1.32,0.13,0.76,,0,0.31,-0.11,93.3,9.50%,84,4.80%,91,,,52.40%,88.3,,,,,,-0.2,1.4,0,,0,,,-2.53,69.46,3.64,,-0.37,,,33.30%,83.30%,47.60%,100.00%,80.00%,90.00%,28.60%,25.00%,4.80%,2,110.2,2,100.00%
2023.8.12,LAA,@HOU,2,DH,,4,1,1,0,0,1,0,0,0,0.00%,50.00%,0.25,0.5,105.3,0.25,0.25,0.5,0.311,95,0,1,4,0,0,0,2,0,0,0,0,0,0.75,2.6,,0,0,0,50.00%,0.00%,50.00%,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,50.00%,0.00%,50.00%,50.00%,0,1,1,0,0,0,0,4,12,16,26.9,1,50.00%,-0.03,-0.04,0.02,0.12,0.01,0.51,,0,-0.01,-0.04,94.7,6.30%,88,37.50%,87.8,12.50%,77,25.00%,81.8,,,,,,-0.3,0,0.5,0,-0.3,,,-11.01,3.64,8.48,1.94,-7.53,,,50.00%,75.00%,62.50%,75.00%,100.00%,90.00%,50.00%,75.00%,6.30%,2,118.3,1,50.00%
2023.8.11,LAA,@HOU,2,DH,,4,1,0,0,0,0,0,0,0,0.00%,50.00%,0,0.5,89.4,0.25,0.25,0.25,0.221,32,0,1,4,1,0,0,2,0,0,0,0,0,0.5,0.1,,0,-0.3,1,50.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50.00%,50.00%,0.00%,0.00%,100.00%,0.00%,1,0,1,0,0,0,0,8,10,18,4.8,0,0.00%,-0.04,-0.04,0.01,-0.09,-0.01,0.49,,0,-0.03,-0.04,94.7,27.80%,86.6,,,16.70%,78.3,16.70%,87.3,,,,,,0,-0.3,,0,-0.1,,,0.61,-5.05,,0.04,-2.93,,,27.30%,71.40%,44.40%,100.00%,60.00%,75.00%,38.90%,25.00%,11.10%,2,92.6,0,0.00%
2023.8.9,LAA,SFG,2,DH-P,,4,0,0,0,0,1,0,0,0,50.00%,50.00%,0,0,,0,0.5,0,0.232,40,0,1,2,0,2,1,2,0,0,0,0,1,0.5,2.6,,0,-0.3,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,0,0,0,0,0,0,0,7,12,19,,0,,-0.01,-0.07,0.05,0.09,0.01,1.25,,0,0.01,-0.02,95.1,36.80%,86.9,,,10.50%,81,,,,,,,21.10%,-0.5,0.3,,0,,,,-5.11,3.78,,1.17,,,,30.80%,66.70%,42.10%,50.00%,75.00%,62.50%,31.60%,25.00%,15.80%,0,,0,
2023.8.8,LAA,SFG,2,DH,,5,1,0,0,0,1,1,1,0,20.00%,0.00%,0,0.25,98.5,0.25,0.4,0.25,0.221,32,0,1,4,1,1,1,0,0,0,0,0,1,0.65,7.5,,0,-0.4,2,25.00%,50.00%,25.00%,0.00%,0.00%,0.00%,0.00%,25.00%,75.00%,0.00%,0.00%,75.00%,25.00%,2,1,1,0,0,0,0,7,9,16,14.3,1,25.00%,0.03,-0.05,0.07,0.18,0.02,0.66,,0,-0.01,0.05,93,31.30%,83.6,,,,,37.50%,85.5,,,,,25.00%,0.4,0,,,-0.7,,,8.18,0.72,,,-12.09,,,30.80%,66.70%,37.50%,100.00%,100.00%,100.00%,18.80%,60.00%,0.00%,4,109.1,3,75.00%
2023.8.7,LAA,SFG,2,DH,,4,2,1,0,0,1,0,1,0,0.00%,0.00%,0.25,0.5,103.9,0.5,0.5,0.75,0.532,248,0,1,4,1,0,0,0,0,0,0,0,0,1.25,7.5,,1,0.7,3,0.00%,75.00%,25.00%,0.00%,0.00%,0.00%,0.00%,50.00%,50.00%,0.00%,0.00%,25.00%,75.00%,3,1,0,0,0,0,0,7,11,18,7.7,0,0.00%,0.08,-0.06,0.14,0.36,0.04,1.22,,0,0.08,-0.01,88.5,27.80%,80,,,,,61.10%,88.3,,,,,,-0.1,-0.2,,,1.1,,,-5.63,-3.64,,,9.57,,,30.00%,87.50%,55.60%,66.70%,71.40%,70.00%,44.40%,50.00%,16.70%,4,111.4,3,75.00%
2023.8.6,LAA,SEA,2,DH,,4,1,0,0,0,1,0,0,0,0.00%,50.00%,0,0.5,96.1,0.25,0.25,0.25,0.221,32,0,1,4,1,0,0,2,0,0,0,0,0,0.5,2.6,,0,-0.3,1,50.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50.00%,50.00%,0.00%,0.00%,100.00%,0.00%,1,0,1,0,0,0,0,5,10,15,3.2,0,0.00%,-0.06,-0.09,0.03,-0.39,-0.04,1.06,,0,-0.04,-0.02,96.4,46.70%,86.9,,,6.70%,81,13.30%,88,,,,,,0.6,-0.5,,0,-0.3,,,11.53,-7.46,,-4.16,-16.07,,,50.00%,40.00%,46.70%,40.00%,100.00%,57.10%,33.30%,50.00%,20.00%,2,105.6,1,50.00%
2023.8.5,LAA,SEA,2,DH,,4,0,0,0,0,0,0,0,0,0.00%,50.00%,0,0,98.3,0,0,0,0,-100,0,1,4,0,0,0,2,0,0,0,1,0,0,0.1,,-1,-1.1,1,50.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,50.00%,50.00%,1,0,1,0,0,0,0,7,14,21,4.2,1,50.00%,-0.19,-0.19,0,-1.55,-0.15,1.48,,0,-0.13,0,97.5,33.30%,88.1,,,9.50%,80.5,,,9.50%,84,,,,-0.6,-0.7,,-0.4,,0,,-5.94,-9.57,,-17.61,,-0.73,,41.70%,88.90%,61.90%,40.00%,87.50%,69.20%,42.90%,75.00%,19.00%,2,107.3,1,50.00%
2023.8.4,LAA,SEA,2,DH,,5,1,1,0,0,1,0,0,0,20.00%,60.00%,0.25,1,105.1,0.25,0.4,0.5,0.388,148,0,1,4,0,1,0,3,0,0,0,0,0.33,0.9,2.6,,1,0.3,0,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,0,1,0,0,0,0,0,8,13,21,19.5,1,100.00%,-0.09,-0.17,0.08,-0.11,-0.01,1.71,,0,0.02,-0.07,97.4,33.30%,88,,,,,33.30%,89.3,,,,,,0.6,-0.6,,,0.2,,,8.73,-7.94,,,2.92,,,46.70%,100.00%,61.90%,42.90%,100.00%,69.20%,28.60%,60.00%,19.00%,1,105.1,1,100.00%
2023.8.3,LAA,SEA,2,DH-P,,4,2,0,0,1,2,1,1,0,50.00%,0.00%,1.5,1,97.1,1,1,2.5,1.194,707,0,1,2,1,2,1,0,0,0,0,0,2,3.5,6,,3,2.9,0,50.00%,0.00%,50.00%,0.00%,100.00%,0.00%,0.00%,50.00%,50.00%,0.00%,0.00%,50.00%,50.00%,0,1,1,0,0,0,0,9,6,15,17.7,1,50.00%,0.17,0,0.17,1.76,0.17,0.82,,0,0.31,-0.09,95.5,13.30%,84,40.00%,87.5,,,6.70%,91,,,,,6.70%,1.7,0.1,0.6,,0,,,27.7,3,10.35,,4.6,,,18.20%,75.00%,33.30%,50.00%,100.00%,80.00%,26.70%,75.00%,6.70%,2,106.7,1,50.00%
2023.8.2,LAA,@ATL,2,DH,,4,2,0,0,0,1,0,0,0,25.00%,25.00%,0,1,110.2,0.667,0.75,0.667,0.615,306,0,1,3,2,1,0,1,0,0,0,0,1,1.417,1.6,,1,1,1,50.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50.00%,50.00%,0.00%,0.00%,0.00%,100.00%,1,0,1,0,0,0,0,7,9,16,7.2,1,50.00%,0.02,-0.02,0.04,1.87,0.18,0.34,,0,0.13,-0.08,92.8,,,,,,,,,50.00%,85.8,,,,0.6,,,,,0.4,,7.63,,,,,4.75,,40.00%,66.70%,50.00%,50.00%,100.00%,75.00%,37.50%,25.00%,12.50%,2,114,2,100.00%
2023.8.1,LAA,@ATL,2,DH,,4,1,0,0,0,0,0,1,0,0.00%,50.00%,0,0.5,98.5,0.25,0.25,0.25,0.221,32,0,1,4,1,0,0,2,0,0,0,0,0,0.5,5,,0,-0.3,2,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50.00%,50.00%,0.00%,0.00%,50.00%,50.00%,2,0,0,0,0,0,0,7,13,20,-8.9,0,0.00%,0.01,-0.06,0.07,-0.25,-0.02,1.03,,0,-0.02,0.04,97,45.00%,87.8,,,,,10.00%,87.5,,,,,,0.3,-0.3,,,-0.2,,,2.8,-3.51,,,-12.25,,,41.70%,62.50%,50.00%,40.00%,80.00%,60.00%,40.00%,75.00%,20.00%,2,104.8,1,50.00%
2023.7.31,LAA,@ATL,2,DH,,5,2,0,0,0,0,0,0,0,20.00%,0.00%,0,0.667,103.8,0.667,0.8,0.667,0.623,311,0,1,3,2,1,1,0,1,0,0,0,1,1.467,0.1,,2,1.3,0,66.70%,0.00%,33.30%,0.00%,0.00%,0.00%,0.00%,33.30%,66.70%,0.00%,0.00%,33.30%,66.70%,0,1,2,0,0,0,0,4,9,13,17.6,0,0.00%,0.1,0,0.1,1.2,0.12,0.83,,0,0.13,-0.01,96.3,30.80%,89.5,,,15.40%,83,,,,,,,30.80%,0.3,0.4,,0.4,,,,3.92,9.16,,19.67,,,,20.00%,75.00%,53.80%,0.00%,100.00%,85.70%,61.50%,80.00%,7.70%,3,113.3,3,100.00%
2023.7.30,LAA,@TOR,2,DH,,5,1,0,0,0,1,0,0,0,40.00%,0.00%,0,0.333,97.3,0.333,0.6,0.333,0.294,83,0,1,3,1,2,2,0,0,0,0,0,2,0.933,1.6,,1,-0.1,1,33.30%,33.30%,33.30%,0.00%,0.00%,0.00%,0.00%,33.30%,0.00%,66.70%,0.00%,66.70%,33.30%,1,1,1,0,0,0,0,5,8,13,17,0,0.00%,0.01,-0.06,0.07,0.21,0.02,1.61,,0,0.01,0,96,46.20%,90.7,,,7.70%,85,30.80%,84.8,,,,,46.20%,0.1,-0.2,,0,0.3,,,5.2,-3.91,,-4.16,6.27,,,33.30%,75.00%,46.20%,33.30%,66.70%,50.00%,30.80%,60.00%,23.10%,3,111,2,66.70%
2023.7.29,LAA,@TOR,2,DH,,5,1,1,0,0,0,0,0,0,40.00%,20.00%,0.5,1,113.6,0.5,0.8,1,0.657,334,0,1,2,0,2,2,1,1,0,0,0,2,1.8,0.1,,2,1.4,1,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,1,0,0,0,0,0,0,4,8,12,4.4,0,0.00%,0.15,-0.01,0.16,1.03,0.11,1.31,,0,0.11,0,93.2,33.30%,82.8,,,,,25.00%,87.3,,,,,66.70%,0.7,0.2,,,-0.1,,,14.19,5.71,,,-2.63,,,14.30%,100.00%,50.00%,100.00%,100.00%,100.00%,41.70%,40.00%,0.00%,1,113.6,1,100.00%
